Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
James Walther,M,SBD,Raw,MR-C,83,125.0,107.5,182.5,415.0
Maren Tverderøy Eidsvik,F,SBD,Raw,Open,84,95.0,55.0,115.0,265.0
Denis Poleschuk,M,SBD,Single-ply,Open,120,300.0,185.0,280.0,765.0
Sarah Sparks,F,SBD,Raw,FR-O,72,82.5,40.0,92.5,215.0
Damert Requena,M,SBD,Raw,Open,93,215.0,155.0,255.0,625.0
Chris Seville,M,SBD,Single-ply,Open,90,140.0,-110.0,175.0,205.0
Raymond Cruz,M,SBD,Raw,MR-O,83,227.5,150.0,262.5,640.0
Matthew Guffy,M,SBD,Raw,MR-Jr,93,172.5,117.5,192.5,482.5
Mattia Zanutto,M,SBD,Raw,Master I,74,160.0,145.0,100.0,405.0
Jonathan Skinner,M,SBD,Raw,MR-O,83,172.5,-120.0,212.5,265.0
Sarah Speer,F,SBD,Raw,Juniors,63,115.0,65.0,130.0,310.0
Macie Lincicum,F,SBD,Raw,FR-T1,72,62.5,30.0,62.5,155.0
Jared Theriault,M,SBD,Raw,MR-Jr,74,150.0,110.0,175.0,435.0
Jack Killick,M,SBD,Raw,MR-O,83,210.0,130.0,217.5,557.5
Benjamin Rischebode,M,SBD,Raw,Open,120+,205.0,155.0,220.0,580.0
Ziana Azariah,F,SBD,Raw,FR-O,84,155.0,65.0,190.0,410.0
Vasiliy Shavaleev,M,SBD,Single-ply,Open,67.5,200.0,125.0,220.0,545.0
Giacomo Simili,M,SBD,Single-ply,Junior,93,180.0,90.0,170.0,440.0
Tereza Herrmannová,F,SBD,Raw,Juniors,63,-105.0,50.0,110.0,55.0
Ryohei Suzuki,M,SBD,Single-ply,Sub-Juniors,75,185.0,-105.0,195.0,275.0
Henry Hermans,M,SBD,Raw,Over 60,83,130.0,85.0,140.0,355.0
Sawyer Cimarolli,F,SBD,Single-ply,F-JV,56,-112.5,52.5,120.0,60.0
Matthew Martino #1,M,SBD,Raw,MR-O,105,242.5,147.5,235.0,625.0
Gary Young #1,M,SBD,Raw,Open,83,205.0,135.0,225.0,565.0
Arvo Tölli,M,SBD,Raw,Over 70,83,130.0,112.5,-150.0,92.5
Andrew Burge,M,SBD,Single-ply,Open,90,250.0,-140.0,240.0,350.0
Lisa Weise,F,SBD,Raw,Open,76,142.5,67.5,152.5,362.5
Phil Menzie,M,SBD,Single-ply,Blind,75,150.0,120.0,190.0,460.0
Ellissa Hull,F,SBD,Raw,Masters 1,47,110.0,60.0,150.0,320.0
